threshold	precision	recall
0.000000	0.458763	1.000000
0.010000	0.458763	1.000000
0.020000	0.458763	1.000000
0.030000	0.458763	1.000000
0.040000	0.458763	1.000000
0.050000	0.461140	1.000000
0.060000	0.465969	1.000000
0.070000	0.465969	1.000000
0.080000	0.470899	1.000000
0.090000	0.473404	1.000000
0.100000	0.475676	0.988764
0.110000	0.475676	0.988764
0.120000	0.478261	0.988764
0.130000	0.480874	0.988764
0.140000	0.483516	0.988764
0.150000	0.480663	0.977528
0.160000	0.486034	0.977528
0.170000	0.494253	0.966292
0.180000	0.491329	0.955056
0.190000	0.494118	0.943820
0.200000	0.488095	0.921348
0.210000	0.481707	0.887640
0.220000	0.468354	0.831461
0.230000	0.456954	0.775281
0.240000	0.451389	0.730337
0.250000	0.453901	0.719101
0.260000	0.459854	0.707865
0.270000	0.469231	0.685393
0.280000	0.476190	0.674157
0.290000	0.483607	0.662921
0.300000	0.491667	0.662921
0.310000	0.500000	0.662921
0.320000	0.508772	0.651685
0.330000	0.527273	0.651685
0.340000	0.532110	0.651685
0.350000	0.542056	0.651685
0.360000	0.557692	0.651685
0.370000	0.557692	0.651685
0.380000	0.563107	0.651685
0.390000	0.564356	0.640449
0.400000	0.577320	0.629213
0.410000	0.572917	0.617978
0.420000	0.578947	0.617978
0.430000	0.593407	0.606742
0.440000	0.613636	0.606742
0.450000	0.623529	0.595506
0.460000	0.641975	0.584270
0.470000	0.649351	0.561798
0.480000	0.653333	0.550562
0.490000	0.647887	0.516854
0.500000	0.642857	0.505618
0.510000	0.632353	0.483146
0.520000	0.641791	0.483146
0.530000	0.640625	0.460674
0.540000	0.666667	0.449438
0.550000	0.672727	0.415730
0.560000	0.702128	0.370787
0.570000	0.681818	0.337079
0.580000	0.707317	0.325843
0.590000	0.692308	0.303371
0.600000	0.684211	0.292135
0.610000	0.684211	0.292135
0.620000	0.684211	0.292135
0.630000	0.675676	0.280899
0.640000	0.666667	0.269663
0.650000	0.647059	0.247191
0.660000	0.677419	0.235955
0.670000	0.642857	0.202247
0.680000	0.615385	0.179775
0.690000	0.615385	0.179775
0.700000	0.619048	0.146067
0.710000	0.611111	0.123596
0.720000	0.625000	0.112360
0.730000	0.666667	0.112360
0.740000	0.714286	0.112360
0.750000	0.714286	0.112360
0.760000	0.750000	0.101124
0.770000	0.777778	0.078652
0.780000	0.777778	0.078652
0.790000	0.750000	0.067416
0.800000	0.750000	0.067416
0.810000	0.750000	0.067416
0.820000	0.750000	0.067416
0.830000	0.714286	0.056180
0.840000	0.714286	0.056180
0.850000	0.666667	0.044944
0.860000	0.666667	0.044944
0.870000	0.800000	0.044944
0.880000	1.000000	0.022472
0.890000	1.000000	0.022472
0.900000	1.000000	0.011236
0.910000	1.000000	0.011236
0.920000	1.000000	0.011236
0.930000	1.000000	0.011236
