threshold	precision	recall
0.000000	0.687500	1.000000
0.010000	0.687500	1.000000
0.020000	0.687500	1.000000
0.030000	0.687500	1.000000
0.040000	0.687500	1.000000
0.050000	0.687500	1.000000
0.060000	0.690583	1.000000
0.070000	0.696833	1.000000
0.080000	0.700000	1.000000
0.090000	0.703196	1.000000
0.100000	0.706422	1.000000
0.110000	0.706422	1.000000
0.120000	0.706422	1.000000
0.130000	0.706422	1.000000
0.140000	0.706422	1.000000
0.150000	0.709677	1.000000
0.160000	0.709677	1.000000
0.170000	0.708333	0.993506
0.180000	0.708333	0.993506
0.190000	0.708333	0.993506
0.200000	0.705607	0.980519
0.210000	0.704225	0.974026
0.220000	0.706161	0.967532
0.230000	0.706161	0.967532
0.240000	0.710145	0.954545
0.250000	0.710145	0.954545
0.260000	0.708738	0.948052
0.270000	0.707921	0.928571
0.280000	0.711443	0.928571
0.290000	0.718593	0.928571
0.300000	0.720812	0.922078
0.310000	0.723077	0.915584
0.320000	0.723077	0.915584
0.330000	0.725389	0.909091
0.340000	0.725389	0.909091
0.350000	0.732984	0.909091
0.360000	0.736842	0.909091
0.370000	0.739362	0.902597
0.380000	0.739362	0.902597
0.390000	0.745946	0.896104
0.400000	0.750000	0.896104
0.410000	0.747253	0.883117
0.420000	0.743017	0.863636
0.430000	0.744318	0.850649
0.440000	0.741379	0.837662
0.450000	0.751479	0.824675
0.460000	0.750000	0.818182
0.470000	0.746988	0.805195
0.480000	0.753086	0.792208
0.490000	0.756250	0.785714
0.500000	0.761290	0.766234
0.510000	0.764706	0.759740
0.520000	0.770270	0.740260
0.530000	0.779310	0.733766
0.540000	0.790210	0.733766
0.550000	0.792857	0.720779
0.560000	0.789855	0.707792
0.570000	0.804511	0.694805
0.580000	0.809160	0.688312
0.590000	0.809160	0.688312
0.600000	0.818898	0.675325
0.610000	0.818898	0.675325
0.620000	0.818182	0.642857
0.630000	0.808696	0.603896
0.640000	0.805310	0.590909
0.650000	0.810811	0.584416
0.660000	0.813084	0.564935
0.670000	0.813725	0.538961
0.680000	0.818182	0.525974
0.690000	0.824742	0.519481
0.700000	0.826087	0.493506
0.710000	0.839080	0.474026
0.720000	0.851852	0.448052
0.730000	0.846154	0.428571
0.740000	0.851351	0.409091
0.750000	0.845070	0.389610
0.760000	0.852941	0.376623
0.770000	0.838710	0.337662
0.780000	0.862069	0.324675
0.790000	0.849057	0.292208
0.800000	0.843137	0.279221
0.810000	0.872340	0.266234
0.820000	0.863636	0.246753
0.830000	0.853659	0.227273
0.840000	0.852941	0.188312
0.850000	0.862069	0.162338
0.860000	0.862069	0.162338
0.870000	0.846154	0.142857
0.880000	0.833333	0.097403
0.890000	0.800000	0.077922
0.900000	0.846154	0.071429
0.910000	1.000000	0.038961
0.920000	1.000000	0.025974
0.930000	1.000000	0.019481
0.940000	1.000000	0.006494
